id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
2,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.96676,0.255269,0.0145773,-0.622427,0.0143922,0.643626,0.000248729,0.00903491,0.0123457,0.972251,-0.233728,0.00999657,0.623301,0.014528,-0.637387,0.0151643,-0.00572965,0.0366972,-0.0177244,-0.999822,-0.0064176,0.163203,0.000871666,0.00197857,0.163182,0.00236241,0.153769,-0.00125859,-0.999999,0.000404457,-0.153127,1.56497e-05,-0.00292145,-0.153126,-0.00717043,0.252101,-0.0243954,0.15732,0.987246,-0.25941,0.00575036,-0.015506,0.00347937,0.261823,0.021879,-0.00279418,-0.178821,0.983878,0.258554,0.00547247,0.00842045,-0.00447287,-0.26358,0.00774194,0.326269,0.306352,0.938953,1.36209,1.20294,0.88316,0.562629,0.592992,0.453066,0.48667,1.05397,1.07417,0.256513,0.232515,0.999864,0.168093,0.999761,0.948797,0.93095,0.98119,
3,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.947619,0.300655,0.107817,-0.607513,0.0683704,0.638522,-0.00206413,0.0283601,0.0217984,0.946594,-0.317877,-0.0539802,0.607181,0.0577441,-0.639982,0.00493882,-0.00356016,0.00273224,-0.0174962,-0.998275,-0.0560494,0.157228,0.00197389,0.00234841,0.156036,0.0253203,0.190253,-0.00231638,-0.999945,0.010276,-0.152531,0.000149846,-0.0602648,-0.152118,0.0273576,0.2,-0.0259102,0.0814241,0.996343,-0.26327,0.00926709,-0.00180494,-0.00100434,0.264271,0.00974659,0.00268206,-0.163881,0.986476,0.260772,0.00779499,-0.00294262,-0.00350303,-0.264921,0.0280612,0.318787,0.300046,0.941212,1.38302,1.17833,0.851996,0.547768,0.590103,0.470405,0.510728,1.07729,1.08572,0.304625,0.316144,0.999884,0.122608,0.999588,0.928258,0.921049,0.992233,
4,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.41775,-0.901254,-0.115006,0.263378,0.126121,0.614064,0.0031675,0.0347593,0,0.374331,-0.923118,-0.0879223,0.241933,0.152398,-0.609979,0.0147362,-4.34693e-05,0,-0.0162372,-0.999583,-0.0238877,0.154152,0.00557549,0.00132793,0.15398,0.00898138,0.171171,-0.00405223,-0.99999,-0.00191989,-0.152332,0.000267618,-0.0133468,-0.152397,0.0611768,0.318907,-0.0271313,0.178371,0.983589,-0.258859,0.00670357,-0.0137983,0.00206853,0.262422,0.00283688,0.00137872,-0.247619,0.968857,0.258889,0.00649305,0.0177635,-0.0175267,-0.271716,0.00804598,0.309607,0.302636,0.977483,1.98308,0.562228,0.283513,0.581825,0.647388,0.460984,0.485004,1.11269,1.05211,0.908971,0.925176,0.999926,0.213042,0.99958,0.898726,0.950475,1.05758,
5,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.976663,0.21443,0.0122199,-0.616923,0.0161811,0.631215,0.00116612,0.0154933,0.0359281,0.971923,-0.235223,0.00595851,0.610602,0.0223477,-0.625029,0.0132531,-0.000679053,0.017192,-0.0192709,-0.999722,-0.013608,0.164322,0.0014654,-0.00132364,0.164349,0.00324005,0.151545,-0.00491085,-0.999984,-0.00271543,-0.152546,0.000163408,0.0119212,-0.152603,-0.00148154,0.173077,-0.0314515,0.149243,0.9883,-0.256236,0.0086478,-0.0171147,0.0184783,0.255934,0.0135747,-0.00347705,-0.159303,0.987224,0.260909,0.00677021,0.00426115,0.000199777,-0.264239,0.0180879,0.325449,0.308219,0.947057,1.33027,1.18405,0.890084,0.551317,0.59099,0.452016,0.492726,1.07196,1.09006,0.21924,0.230451,0.999897,0.154312,0.9996,0.93287,0.917378,0.983393,
6,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.966215,0.255748,0.0319534,-0.626452,0.0147729,0.649622,-0.00674941,0.015752,0.0273556,0.976034,-0.21739,0.00994271,0.626991,0.0146814,-0.639793,0.0112276,-0.00909103,0.0391566,-0.0188211,-0.999795,-0.00745436,0.162794,0.000655149,0.0029209,0.162738,0.00464568,0.178862,-0.0015638,-0.999999,0.000520356,-0.154447,0.000161848,0.0327741,-0.154479,0.0383169,0.169312,-0.0212637,0.155981,0.987531,-0.261435,0.00545886,-0.0103867,0.00055649,0.264424,0.0270619,-0.00370873,-0.261799,0.965115,0.25799,0.0057619,-0.00121881,-0.0256048,-0.274266,0.0176018,0.327684,0.306662,0.935846,1.36604,1.21171,0.887023,0.5859,0.611102,0.446406,0.477744,1.04301,1.0702,0.25739,0.215874,0.999851,0.208903,0.999844,0.958759,0.934403,0.974596,
8,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.96706,0.254142,0.0143546,-0.621405,0.0149265,0.642529,-0.000242843,0.00707255,0.0273556,0.973942,-0.226795,0.000161776,0.621976,0.0264347,-0.636351,0.00972306,-0.00789998,0.0582822,-0.0166396,-0.999848,-0.00512018,0.16309,0.000737642,0.00355554,0.163047,0.00177155,0.166,-0.00588832,-0.999983,0.000254117,-0.152652,0.000143851,0.0576369,-0.152993,0.00573796,0.237822,-0.0212443,0.165366,0.986003,-0.259869,0.0060789,-0.0119355,0.00306128,0.262788,0.0233161,-0.00203147,-0.174312,0.984688,0.258596,0.00628029,0.00896066,-0.00181809,-0.26292,0.0153453,0.322228,0.309243,0.959701,1.35699,1.20078,0.884887,0.564318,0.593469,0.454832,0.485108,1.05166,1.06656,0.259859,0.221056,0.999942,0.169858,0.99981,0.95088,0.93759,0.986024,
16,12,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.883356,0.459934,-0.0902414,-0.562517,0.0807399,0.635117,0.00399778,0.0039428,0.00271003,0.846886,-0.517011,0.124434,0.535101,0.118991,-0.623531,0.0121843,-0.00596312,0.00520833,-0.0170866,-0.999541,0.0250277,0.150294,0.00469829,0.0124269,0.15053,0.0151558,0.148571,-0.00395779,-0.99984,-0.0174593,-0.153583,0.000167571,-0.0132156,-0.154008,0.0259693,0.198391,-0.0371183,0.0772827,0.996318,-0.260384,0.00897208,-0.0435144,-0.0371528,0.262607,0,-0.00455841,-0.214657,0.976679,0.265074,0.00716983,-0.00821696,-0.0181378,-0.275428,0.0258718,0.310661,0.297195,0.956652,1.43766,1.09902,0.764453,0.55836,0.607154,0.471737,0.513221,1.08739,1.08794,0.465326,0.517678,0.999914,0.146153,0.99947,0.919635,0.919169,0.999494,
18,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.875321,0.483482,-0.00765169,-0.578006,0.0125748,0.662379,-0.00377103,-0.00451775,0.0915493,0.997208,-0.0744592,-0.00567502,0.616289,0.0162476,-0.617184,0.010479,0.00848237,0.0535714,-0.0268512,-0.999633,0.00367066,0.182108,0.000610076,-0.00914684,0.182427,0.0016111,0.208855,0.00200784,-0.999998,0.00081274,-0.161002,0.00018371,0.00670492,-0.160988,0.000464722,0.111675,0.012117,0.21327,0.976918,-0.276922,0.00437875,0.0162405,-0.0234691,0.288387,0.0595611,0.0215832,-0.138104,0.990183,0.272555,0.00427062,0.0046158,0.00014099,-0.275339,0.14832,0.360608,0.326742,0.906088,1.37863,1.1718,0.849971,0.610785,0.622733,0.481968,0.504242,1.01956,1.04621,0.481738,0.0764625,0.999583,0.175716,0.999956,0.980813,0.955827,0.974525,
19,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.867397,0.497604,-0.00368987,-0.567584,0.0168072,0.654569,-0.000412228,-0.00467972,0.0881671,0.996747,-0.0778762,0.0207643,0.60988,0.0236824,-0.611597,0.00491729,0.00530442,0.0195599,-0.0259852,-0.999658,0.00293199,0.183083,0.000597479,-0.0123551,0.183474,0.00239962,0.217092,0.00659856,-0.999972,0.00361985,-0.161622,0.000169638,0.0409857,-0.161495,-0.038397,0.0769231,0.0123803,0.214247,0.976701,-0.277229,0.00475099,0.0136033,-0.0249361,0.289139,0.0579858,0.0182932,-0.148969,0.988672,0.272413,0.00392713,0.00701706,0.00250752,-0.275286,0.0787037,0.364199,0.326597,0.896756,1.36967,1.15457,0.842956,0.617299,0.621613,0.482588,0.500163,1.00699,1.03642,0.491873,0.0844699,0.999469,0.181649,0.999983,0.99306,0.96486,0.971603,
20,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.821778,0.565392,-0.0708089,-0.537289,0.0377279,0.651535,0.000422565,-0.0230602,0.00869565,0.997301,-0.0724487,0.0119503,0.615399,0.0187615,-0.616556,0.00810552,0.00667807,0.00997506,-0.0280325,-0.998979,0.0354197,0.179467,0.0016757,-0.0116685,0.179564,-0.0116655,0.19963,0.00480125,-0.999988,-0.00118045,-0.159139,0.000535623,0.0286543,-0.158931,-0.0614759,0.0857143,0.0129876,0.216124,0.97628,-0.27653,0.00438551,0.0169144,-0.0245624,0.288461,0.0628218,0.0225211,-0.144459,0.989255,0.267676,0.00422377,0.00306052,-0.017014,-0.273138,0,0.358899,0.320638,0.893392,1.39005,1.14345,0.822595,0.607674,0.619525,0.475566,0.498719,1.0195,1.04869,0.562852,0.0772417,0.99946,0.180311,0.999955,0.980871,0.953575,0.972171,
21,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.875461,0.48327,-0.00415203,-0.57343,0.0128389,0.655481,-0.000882676,-0.00202488,0.107914,0.992004,-0.114372,0.0533666,0.602448,0.0586789,-0.60622,0.0107039,0.00278589,0.00503778,-0.0244819,-0.9996,0.014141,0.182401,0.00115194,-0.0125687,0.182752,-0.00206274,0.209804,0.0027987,-0.999986,0.00445159,-0.161272,0.000137828,0.0699374,-0.161288,-0.0471832,0.0687285,0.0151936,0.210203,0.97754,-0.277975,0.00445059,0.0299187,-0.0224539,0.288725,0.0530786,0.0182445,-0.14102,0.989839,0.27273,0.00437549,0.0100057,-0.00225505,-0.276036,0.0967742,0.359769,0.328293,0.91251,1.37028,1.14736,0.837315,0.617673,0.618838,0.488688,0.501081,1.00189,1.02536,0.480822,0.117315,0.999628,0.175661,0.999996,0.998117,0.975267,0.977107,
22,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.78255,0.619457,-0.0623546,-0.509466,0.055918,0.652188,-0.00231581,-0.00850682,0.00947867,0.994253,-0.106096,0.0142821,0.608713,0.0384619,-0.611413,0.00910174,0.0106842,0.0199005,-0.0265273,-0.999626,0.00664929,0.182321,0.000779367,-0.00998414,0.182658,0.000603315,0.205053,0.0044199,-0.999988,0.00224524,-0.160351,0.000360035,0.0379291,-0.160342,-0.0701514,0.143939,0.0143517,0.198564,0.979983,-0.279915,0.00342782,0.0174519,-0.0235498,0.290148,0.0597652,0.0211318,-0.145872,0.989078,0.272641,0.00439112,0.00347211,0.000198173,-0.275697,0.0774566,0.361083,0.326698,0.904771,1.40506,1.10862,0.789018,0.614331,0.622394,0.488023,0.506432,1.01312,1.03772,0.617193,0.1105,0.999521,0.172254,0.999977,0.987046,0.963649,0.976295,
23,28,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.876295,0.481547,-0.0148262,-0.581197,0.0248591,0.659172,0.00730561,-0.003431,0.0739796,0.997166,-0.0751675,0.00325995,0.620081,0.0170404,-0.621596,0.00373674,0.0106759,0.03,-0.0264844,-0.999637,0.00497947,0.180672,0.000682234,-0.00520639,0.180884,0.00172156,0.218303,3.21137e-05,-0.999995,0.0031092,-0.161626,0.000502102,-0.0956588,-0.161866,-0.0761674,0.0878661,0.00984944,0.205391,0.97863,-0.277764,0.005247,0.0263925,-0.0253985,0.288894,0.0459653,0.0205715,-0.137398,0.990302,0.272913,0.00472332,0.00758627,-0.000142287,-0.275762,0.0655172,0.358477,0.327167,0.91266,1.38627,1.17966,0.850961,0.608923,0.623667,0.48423,0.507697,1.02421,1.04846,0.481572,0.0751999,0.999648,0.171432,0.999943,0.97636,0.953779,0.976872,
30,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.978816,0.204722,-0.00297514,-0.659181,0.0170843,0.672677,0.0036618,-0.00134149,0.0991254,0.988636,-0.15032,-0.00160805,0.633192,0.022468,-0.638089,0.0156696,-0.000752982,0.0470588,-0.0194886,-0.999808,-0.00221976,0.163268,0.000607097,0.00655229,0.163167,0.00244655,0.17031,-0.00245578,-0.999996,-0.00151968,-0.138453,2.41354e-05,-0.0407919,-0.138322,-0.0209505,0.171756,-0.0181104,0.138658,0.990175,-0.273902,0.00588703,-0.00652888,0.00568444,0.275704,0.0792208,0.0108542,-0.17101,0.985209,0.27425,0.0063398,0.00255812,0.0047084,-0.277578,0.0748663,0.31221,0.290813,0.931468,1.36406,1.25599,0.920774,0.578505,0.619541,0.482018,0.526506,1.07093,1.09229,0.207126,0.147892,0.999855,0.154854,0.999571,0.933764,0.915505,0.980446,
31,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.978348,0.206967,7.399e-05,-0.656992,0.0181425,0.67109,0.00209108,-0.000877358,0.091954,0.990604,-0.136496,-0.00847093,0.632603,0.0235069,-0.636047,0.0185144,0.000600249,0.0530726,-0.0201802,-0.999795,-0.00178171,0.163402,0.000642605,0.00864968,0.163258,0.00161865,0.15473,-0.00294338,-0.999993,-0.00228552,-0.138842,2.64983e-05,-0.0385761,-0.138726,-0.00191647,0.228137,-0.00936026,0.166162,0.986054,-0.273669,0.00566418,0.00143677,0.00535536,0.276651,0.0673712,0.00713512,-0.161696,0.986815,0.274824,0.00568073,0.00653918,0.00318566,-0.278021,0.0702918,0.312869,0.291248,0.930896,1.35882,1.25433,0.923103,0.590574,0.614603,0.487342,0.516707,1.04069,1.06026,0.209846,0.133584,0.999852,0.163934,0.99986,0.960903,0.943169,0.981544,
32,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.978847,0.204581,0.00231917,-0.65493,0.0179383,0.669513,-0.00205569,8.21455e-05,0.0652819,0.989805,-0.142103,0.00960713,0.631482,0.0230057,-0.635048,0.0198906,-0.00844619,0.039548,-0.0199232,-0.999801,-0.00141968,0.163482,0.000625765,0.00899973,0.163334,0.000881744,0.163801,-0.00149282,-0.999995,-0.00265321,-0.138387,2.28896e-05,-0.11538,-0.138113,-0.0385392,0.218868,-0.0158246,0.162761,0.986539,-0.27331,0.00661615,0.00227353,0.00565524,0.276143,0.0585106,0.0119891,-0.156745,0.987566,0.274067,0.00656521,0.00458838,0.00564715,-0.276677,0.078329,0.313193,0.290148,0.926418,1.35593,1.25055,0.922285,0.580525,0.619374,0.480423,0.523709,1.06692,1.0901,0.206042,0.140632,0.99983,0.159767,0.999603,0.937276,0.917348,0.978738,
33,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.914426,0.395503,0.0860393,-0.608257,0.0836746,0.66319,0.0022701,0.0106952,0,0.981183,-0.190397,-0.032087,0.62564,0.0431436,-0.634678,0.0150731,0.00109672,0.013369,-0.0213441,-0.999761,-0.0047998,0.163378,0.00115674,0.00641622,0.163275,0.00105988,0.161404,-0.00185647,-0.999996,-0.00227975,-0.14109,3.3124e-05,-0.0990346,-0.140916,0.00417034,0.25448,-0.0123462,0.166274,0.986002,-0.273425,0.00605871,0.00692859,0.00528161,0.276503,0.0424165,0.0121157,-0.166926,0.985895,0.273935,0.00712241,0.0084431,0.00279599,-0.277484,0.0625,0.316269,0.292811,0.925828,1.39162,1.20377,0.865016,0.586239,0.624016,0.480858,0.521381,1.06444,1.08427,0.398678,0.188672,0.99981,0.166612,0.999692,0.939461,0.922277,0.981708,
34,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.934923,0.354658,0.0117127,-0.625489,0.0211242,0.680811,-0.030827,-0.00717437,0.0298165,0.966854,-0.252094,-0.0405188,0.610473,0.0610069,-0.626527,0.0188641,-0.00103548,0.00828729,-0.0225635,-0.999694,-0.0100952,0.163713,0.00117914,0.0145008,0.163398,0.00373623,0.16726,-0.00118207,-0.999987,-0.00494442,-0.137859,0.000250837,0.0473506,-0.138216,0.0605002,0.1875,-0.014843,0.154161,0.987934,-0.274368,0.00551068,0.00868953,0.00740872,0.276693,0.0521512,0.0111239,-0.24944,0.968326,0.273505,0.0051628,0.0200196,-0.0216722,-0.288264,0.0350109,0.3141,0.288493,0.918476,1.38928,1.19741,0.861888,0.599543,0.636539,0.471642,0.51418,1.06171,1.09019,0.355787,0.251157,0.999771,0.201863,0.999649,0.941878,0.917271,0.973874,
40,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.945863,0.320002,0.0542415,-0.629634,0.0557646,0.664132,0.00276439,0.0105374,0.00852273,0.980732,-0.188611,-0.0508973,0.621756,0.0432253,-0.630205,0.0178802,0.00630756,0.00791557,-0.0186161,-0.999305,-0.0323076,0.160687,0.00175218,0.00197965,0.160362,0.0123788,0.152801,-0.00309934,-0.999995,0.000317895,-0.138943,2.61147e-05,-0.100348,-0.138629,0.0111981,0.21843,-0.0196497,0.134662,0.990697,-0.264914,0.00725169,-0.00241395,0.00951362,0.266061,0,0.0133046,-0.150218,0.988563,0.275913,0.00582458,-0.00099918,0.00428657,-0.278441,0.0772304,0.309242,0.290243,0.938563,1.37448,1.21657,0.88511,0.564774,0.611806,0.47763,0.524602,1.08328,1.09834,0.323408,0.185812,0.999879,0.142459,0.999446,0.923126,0.910462,0.986282,
42,39,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.983043,0.183266,0.00627334,-0.655569,0.0173855,0.669672,-0.015403,0.0119808,0.0752089,0.993392,-0.114767,-0.0013277,0.648612,0.0225067,-0.652057,0.00750438,0.00205721,0.0379404,-0.0202634,-0.99979,0.00303763,0.161605,0.00079693,0.00395877,0.161574,0.00518909,0.129597,-0.00789554,-0.999961,0.00401219,-0.159367,0.000178862,-0.0149291,-0.159447,-0.0477951,0.140221,-0.0145246,0.119101,0.992776,-0.282356,0.0051441,0.00284372,-0.00340082,0.28486,0.0523322,0.00627604,-0.121863,0.992527,0.271384,0.00483337,-0.0140525,-0.00890028,-0.274431,0.0647208,0.328825,0.313085,0.952133,1.36834,1.27214,0.929697,0.581196,0.612477,0.502234,0.535132,1.05382,1.0655,0.191026,0.10692,0.999923,0.120488,0.99978,0.948928,0.938524,0.989036,
