id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz
2905,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.987202,0.159408,-0.00458166,-0.653126,0.0177312,0.672239,-0.0658887,0.00146051,0.993054,-0.117648,-0.00165722,0.627084,0.0169636,-0.637631,-0.0520428,0.00296892,-0.0284123,-0.999566,0.00771644,0.108953,0.000223049,0.0107328,0.10869,-0.000759974,-0.000402803,-1,0.000884462,-0.219878,1.33068e-05,0.0214009,-0.219893,-0.00722656,0.00747134,0.159058,0.987241,-0.262901,0.00238257,0.00987872,-0.0571129,0.275426,0.000709433,-0.157074,0.987587,0.262771,0.00274764,0.00283664,-0.0559602,-0.274976,
2908,19,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0.870168,0.476511,0.125475,-0.51654,0.0137421,0.614106,-0.0614801,0.0913423,0.97131,-0.181483,0.153688,0.606524,0.0199926,-0.617257,-0.0536262,-0.108714,-0.0296839,-0.999522,0.00868181,0.129963,0.000219362,-0.00908752,0.130224,-0.00824794,0.00221423,-0.999986,0.00480092,-0.234133,2.12829e-05,0.0234149,-0.23441,-0.0678641,-0.170965,0.214258,0.961699,-0.254763,0.00801942,-0.0460011,-0.0762086,0.27371,-0.129273,-0.109643,0.985529,0.266673,0.00585932,0.0238608,-0.0584093,-0.273957,
2917,1,0,4,4,1,0,2,0,0,0,0,0,0,0,0,0.994337,0.104432,0.0196813,-0.663605,0.0315352,0.67432,-0.0669207,0.00467464,0.989687,-0.143038,0.00775013,0.633489,0.029799,-0.647468,-0.051132,-0.00159809,-0.0246544,-0.999693,-0.00259078,0.100758,0.000423191,0.0140908,0.100446,-0.00154554,-0.00243388,-0.999973,-0.0069985,-0.211774,9.83716e-06,0.00696573,-0.211769,-0.00391628,-0.00351771,0.18349,0.983015,-0.259521,0.00457531,0.00404729,-0.0584558,0.274931,0.00296247,-0.185291,0.982679,0.259711,0.00448378,-0.000452462,-0.0558666,-0.274821,
2918,155,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.902677,0.430319,0.00010659,-0.543488,0.0155484,0.636119,-0.0713951,0.00549629,0.992219,-0.124489,0.00180463,0.602318,0.0108961,-0.612873,-0.0465372,-0.00366039,-0.0423016,-0.999098,0.0038321,0.126263,0.000214422,-0.0108033,0.126833,-0.000343342,-0.00163673,-0.999998,0.0009085,-0.235882,3.06762e-05,0.0846951,-0.23604,-0.0207646,-0.00828353,0.15519,0.98785,-0.263403,0.00246313,-0.0106377,-0.0612431,0.276175,-0.0118569,-0.152519,0.988229,0.264737,0.00223823,-0.00528085,-0.0621231,-0.277541,
2921,564,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.969024,0.246941,-0.00367709,-0.607907,0.0182524,0.643029,-0.061525,0.00268953,0.995196,-0.0979043,-0.00023996,0.622725,0.0191036,-0.630541,-0.0488854,-0.000817964,-0.0309099,-0.99951,0.00503204,0.097524,0.000269503,0.00885697,0.0973028,0.000967402,0.00147324,-0.999991,-0.00386936,-0.207322,1.59136e-05,-0.0149764,-0.207986,0.165514,-0.0103684,0.169255,0.985518,-0.263278,0.00267252,-0.011225,-0.0562026,0.276681,-0.00265688,-0.18562,0.982618,0.262637,0.00283712,-0.00829017,-0.0701842,-0.280563,
2926,554,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.993787,0.111294,-0.00107254,-0.649047,0.0185036,0.660539,-0.066324,0.00552802,0.992691,-0.120317,0.00939364,0.630575,0.0161794,-0.641776,-0.0543323,-0.00282161,-0.0261624,-0.99965,0.00385553,0.127254,0.000255339,0.00960798,0.127071,0.00617186,0.000109275,-0.999999,0.00125315,-0.23018,6.08519e-05,-0.0071777,-0.230216,-0.02837,-0.00861921,0.19581,0.980604,-0.264516,0.00283301,0.000214937,-0.074612,0.284649,-0.00878478,-0.130569,0.9914,0.262956,0.00271018,-0.00345588,-0.0541102,-0.272394,
2942,88,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.840697,0.541472,0.00604353,-0.472416,0.00371942,0.595237,-0.0518247,0.0105029,0.988564,-0.14945,0.0201608,0.59662,0.00421862,-0.609493,-0.0414078,-0.014169,-0.0351832,-0.999247,0.0163449,0.13195,0.000157236,-0.0266,0.132952,-0.00209221,0.00820348,-0.999932,0.00828829,-0.224945,9.57762e-05,0.16243,-0.223704,-0.00909012,-0.0268018,0.187758,0.98185,-0.265024,0.00338701,-0.0395186,-0.0644666,0.281173,-0.00820969,-0.121576,0.992548,0.269898,0.00256374,-0.00906433,-0.0586582,-0.279184,
2977,20,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.910157,0.414233,0.0049622,-0.537666,0.0255075,0.619948,-0.06419,0.00102775,0.984031,-0.177987,-0.00192093,0.600461,0.0101363,-0.619017,-0.0487375,0.00203883,-0.0269377,-0.999617,-0.00641104,0.133957,0.00023516,-0.0174102,0.134463,0.00220875,0.00117516,-0.999997,0.00193206,-0.229573,7.8003e-06,0.198414,-0.229079,0.135547,0.00564894,0.189038,0.981953,-0.259599,0.00227443,-0.0051783,-0.0554045,0.275065,-0.00280948,-0.211807,0.977307,0.256707,0.0024895,-0.00772101,-0.0720733,-0.27831,
2979,551,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.991911,0.126906,0.00284075,-0.657055,0.0177537,0.671632,-0.071947,-0.0049204,0.990461,-0.13777,-0.00236969,0.637983,0.0169558,-0.651731,-0.0547983,0.00767266,-0.0237872,-0.999692,-0.00704408,0.114632,0.000588912,0.00480604,0.114547,0.000815125,-0.00119832,-0.999979,-0.00639237,-0.225573,1.19013e-05,-0.00752649,-0.225459,-0.0172063,0.00761733,0.169876,0.985436,-0.265248,0.00288946,0.00252151,-0.0598059,0.279459,0.00981588,-0.196826,0.980389,0.259684,0.0029759,-0.00833405,-0.0582911,-0.276498,
2984,526,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.958187,0.286126,0.0030882,-0.602755,0.0214138,0.648545,-0.0653101,0.00467722,0.992644,-0.121046,0.00233332,0.618245,0.0231404,-0.62925,-0.0527324,-0.002753,-0.0252968,-0.999675,-0.00324803,0.109841,0.000334813,0.000690329,0.109851,0.00256736,-0.0017533,-0.999995,0.00248505,-0.213152,2.04955e-05,0.048554,-0.212868,0.148881,-0.00475401,0.121242,0.992612,-0.267213,0.00334395,0.000539839,-0.0527836,0.275652,-0.00733902,-0.174672,0.984599,0.260978,0.00339028,0.0017933,-0.0725896,-0.277924,
