id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
0,0,3,-1,-1,4,0,5,0,0,0,0,0,0,0,0,0.977495,0.210915,0.00420117,-0.636668,0.0179927,0.666787,-0.0716723,0.000915592,0.0771513,0.98885,-0.148716,0.00762465,0.633239,0.0209555,-0.648856,-0.056453,-0.0016081,0.030303,-0.0221162,-0.999755,-0.00124255,0.095396,0.000890933,0.00326987,0.0953477,-0.000503516,0.126571,-0.00475758,-0.999934,-0.0104595,-0.211415,4.09048e-05,-0.0323744,-0.210825,-0.0430347,0.123552,-0.00100176,0.120383,0.992727,-0.26943,0.00314592,0.0099462,-0.0673278,0.279578,0.0430686,0.00527582,-0.149639,0.988727,0.26633,0.00339118,0.00724142,-0.0714098,-0.280213,0.0396419,0.321042,0.30296,0.943677,1.36938,1.25805,0.918703,0.215566,0.144014,0.999849,0.135025,0.99998,0.982737,0.970249,0.987293,
1,1,0,4,4,1,0,2,23.75,53.9375,13,12.1875,50.5625,19.625,21.0625,21.125,0.990139,0.140053,0.00305645,-0.625712,0.0326611,0.635248,-0.0234315,0.003294,0.010989,0.994421,-0.104,0.0176162,0.634687,0.0313686,-0.639018,-0.00792253,-0.0032906,0.0239362,-0.0269887,-0.999635,0.00120165,0.141101,0.000377174,0.00466978,0.141028,0.00102654,0.246226,-0.00133938,-0.99999,-0.00431127,-0.166888,8.29253e-06,0.000555275,-0.16681,-0.0186593,0.610101,-0.00258215,0.134161,0.990956,-0.274334,0.00385187,-0.0165988,-0.0141969,0.278716,0.0899609,-0.00254611,-0.159001,0.987275,0.268054,0.00453799,-0.00864652,-0.0124023,-0.273529,0.141401,0.325735,0.295284,0.906516,1.31126,1.23654,0.943013,0.14138,0.102684,0.999671,0.146588,1,0.999185,0.980709,0.981509,
2,2,0,1,1,0,0,2,23.75,54.0625,13.0625,12.3125,45.9375,20.1875,20.25,20.3125,0.821048,0.570847,-0.0036021,-0.461834,0.00636073,0.574275,-0.0169652,-0.00322358,0.32312,0.9951,-0.0988716,-0.000759323,0.656415,0.0127504,-0.660715,-0.0107601,0.000945914,0.303371,-0.0206019,-0.999777,-0.0045464,0.148756,6.97922e-05,-0.0894465,0.150635,-0.000630164,0.64738,0.000937712,-0.999999,0.000586878,-0.168036,8.1691e-06,0.0312517,-0.168013,-0.0107872,0.448124,0.000669254,0.18301,0.983111,-0.264459,0.00180003,-0.0512454,-0.0139734,0.271639,0.477237,0.00530675,-0.16929,0.985552,0.268534,0.0017338,-0.053285,-0.0157149,-0.274883,0.472843,0.332359,0.373442,1.12361,1.35528,1.10947,0.81863,0.570081,0.0998046,0.999768,0.176152,0.999989,0.990209,0.97287,0.98249,
3,3,0,4,1,0,0,3,23.8125,59.5,17,16,49.9375,18.0625,18.625,18.75,0.869459,0.494005,0.000190211,-0.5278,0.0234351,0.626077,-0.0334958,-0.00540737,0.0549898,0.988202,-0.153156,-0.00064256,0.702507,0.0158176,-0.714142,-0.0209289,-0.00681339,0.188764,-0.0287638,-0.999529,-0.0107292,0.18457,0.000334516,-0.0744068,0.186828,-0.00278087,0.233227,-0.000927956,-0.999994,-0.00339331,-0.219557,8.71166e-06,0.0313267,-0.219635,0.0141276,0.549053,0.00364098,0.202551,0.979265,-0.246395,0.00284987,-0.0569361,-0.0336892,0.258792,0.434511,-0.0101883,-0.193551,0.981037,0.255033,0.00247914,-0.0511201,-0.0274823,-0.265916,0.463203,0.428181,0.448829,1.04822,1.477,1.1902,0.805819,0.494812,0.152239,0.999613,0.198053,0.999901,1.03433,1.00667,0.973253,
4,4,0,4,1,0,0,2,23.4375,54,16.9375,15.875,43.8125,18,18.8125,18.625,0.860331,0.509734,-0.00136152,-0.458247,0.0226742,0.548659,-0.0270422,-0.00224363,0.063786,0.984893,-0.173157,0.00175729,0.630057,0.0158773,-0.643032,-0.0187498,0.00769189,0.18427,-0.0311824,-0.999514,-0.000262807,0.18884,0.000433196,-0.0790491,0.191397,0.00484816,0.238788,2.20429e-05,-0.999999,-0.00113927,-0.216175,1.66436e-05,0.0554773,-0.216153,-0.0182208,0.276553,0.0218013,0.175686,0.984205,-0.248487,0.00341766,-0.0438538,-0.0248399,0.25788,0.331626,0.00395543,-0.175813,0.984416,0.243161,0.0034886,-0.0484556,-0.0220984,-0.250762,0.309211,0.430455,0.455314,1.05775,1.33857,1.03243,0.771291,0.509715,0.173179,0.999513,0.175771,0.999836,1.04307,1.01687,0.974882,
5,5,0,4,1,0,0,2,24.0625,54.5,15.0625,14.25,44.4375,18.8125,19.875,19.75,0.807004,0.590496,0.00769996,-0.425969,0.0204766,0.545139,-0.0236709,0.00216488,0.0632653,0.991912,-0.126845,0.00458834,0.645786,0.017446,-0.651677,-0.0049567,-0.00181617,0.192488,-0.0300067,-0.999549,-0.0014129,0.168524,6.3596e-05,-0.0978028,0.171538,-0.000979693,0.605701,-0.000415467,-1,-0.000602775,-0.195824,6.13848e-06,0.0340072,-0.195846,0.0130383,0.649891,0.00284361,0.160348,0.987056,-0.258219,0.00335799,-0.0608968,-0.0213664,0.265251,0.455679,-0.00958265,-0.160072,0.987059,0.26079,0.00353147,-0.067927,-0.0143254,-0.267192,0.432,0.38609,0.436522,1.13062,1.34737,1.0411,0.772689,0.590849,0.126434,0.999562,0.160214,0.999921,1.02886,1.00628,0.978052,
6,6,1,2,2,1,0,2,23.25,53.75,13.9375,13.4375,48.9375,18.375,20.875,19.4375,0.968673,0.248043,-0.0121595,-0.619102,0.0130333,0.64156,-0.00965184,-0.00284322,0.0207715,0.983849,-0.178971,-0.00328609,0.627469,0.0124651,-0.638403,-0.00341431,-0.00372381,0.0704225,-0.0213477,-0.999764,0.00414972,0.15855,0.000407821,0.000456125,0.158578,0.000255635,0.320448,-0.00145308,-0.999997,0.002068,-0.178626,6.98695e-06,-0.0100701,-0.178606,0.00283262,0.3984,-0.00545909,0.115074,0.993342,-0.257892,0.00333172,-0.00580213,-0.0073102,0.260435,0.0415094,-0.00392369,-0.105958,0.994363,0.261267,0.00350489,-0.00489115,-0.0123151,-0.26408,0.023399,0.35491,0.335865,0.946337,1.35527,1.20869,0.891845,0.249468,0.177542,0.999802,0.110518,0.999999,0.995395,0.984413,0.988967,
7,7,0,4,1,0,0,3,23.625,59.625,15,13.75,52.3125,20.25,20.75,20.6875,0.898845,0.438267,-0.00087363,-0.574719,0.0186228,0.652243,-0.026331,0.0075739,0.0741573,0.986713,-0.162323,0.00698107,0.71528,0.00940658,-0.726422,-0.00911229,0.00161436,0.296482,-0.0300122,-0.999521,0.0075457,0.160882,0.000101891,-0.0528888,0.16258,0.00422259,0.680297,0.00138925,-0.999994,0.00330961,-0.193757,3.80755e-06,0.0562179,-0.19378,-0.0302751,0.438878,0.000495536,0.121148,0.992634,-0.278818,0.00131059,-0.048569,-0.0200607,0.28336,0.471496,-0.00624247,-0.122991,0.992388,0.264957,0.00145414,-0.054497,-0.0218288,-0.270037,0.4801,0.381723,0.374528,0.98115,1.49037,1.26483,0.84867,0.437018,0.163697,0.999507,0.12207,0.999977,1.01801,0.998535,0.980865,
8,8,1,2,2,1,0,2,23.5,53.1875,14.625,13.9375,48.125,18.5,21.1875,19.75,0.96122,0.275702,-0.00673722,-0.588944,0.00722761,0.617949,-0.0183469,-0.00254619,0.114846,0.985679,-0.168369,-0.00936398,0.636262,0.00752242,-0.647324,-0.0106777,0.000534585,0.0583333,-0.0179685,-0.999838,0.000737616,0.162134,0.000404327,-0.0195394,0.16251,-0.00128083,0.318043,0.00150045,-0.999996,0.00246195,-0.185584,9.65222e-06,0.00472371,-0.185563,0.0060807,0.354497,-0.000752648,0.103185,0.994662,-0.263455,0.00291262,-0.0226992,-0.0114997,0.266045,0.0267857,0.00710939,-0.104733,0.994475,0.265603,0.0029576,-0.0276142,-0.0116278,-0.268105,0.0225282,0.36504,0.350093,0.959054,1.34301,1.18521,0.882505,0.274266,0.169856,0.999811,0.10396,0.999969,0.982306,0.972628,0.990148,
9,9,0,2,1,0,0,2,21.875,54.375,13.3125,12.5,47.75,18,19.0625,19.0625,0.903904,0.427734,0.000429439,-0.532834,0.0147621,0.602205,-0.026893,0.00245844,0.0605187,0.983982,-0.178265,0.000820788,0.643214,0.0127613,-0.65478,-0.00602593,0.0041355,0.165192,-0.026774,-0.999615,0.00726612,0.146473,0.000275652,-0.04103,0.147614,-0.00201214,0.314631,0.000155424,-0.999999,0.00114485,-0.172484,3.7394e-06,0.015667,-0.172484,-0.00240603,0.434363,-0.00361352,0.14176,0.989894,-0.25027,0.00166432,-0.040576,-0.0104605,0.254174,0.448889,-0.0029403,-0.153617,0.988126,0.249087,0.00158189,-0.0395785,-0.0123172,-0.254113,0.448947,0.341306,0.337225,0.988043,1.35601,1.15134,0.849063,0.427594,0.178418,0.999637,0.147688,1,0.998474,0.978584,0.98008,
