id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz
1451,601,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.988874,0.148634,0.00609023,-0.670217,0.0171769,0.677111,0.00393523,0.0091337,0.97718,-0.212236,0.00867479,0.638688,0.0188571,-0.648373,0.023742,-0.00825793,-0.00484125,-0.999988,-1.66483e-05,0.157048,0.000195608,0.0139879,0.156982,0.00932147,-0.0254895,-0.999674,0.0015338,-0.127943,4.7005e-05,-0.00274553,-0.127884,0.0201711,-0.0132618,0.186847,0.982299,-0.27656,0.00230304,0.0234605,0.00849449,0.280245,-0.0198322,-0.184551,0.982623,0.271011,0.00205558,0.0249065,0.00901527,-0.273607,
1452,601,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.987478,0.157753,0.00037028,-0.666396,0.0172012,0.67441,0.00270728,0.00891693,0.983525,-0.180517,0.00955759,0.637807,0.0179878,-0.644472,0.0216761,-0.00412261,-0.00481596,-0.999987,0.00137933,0.157571,0.000208953,0.0112765,0.157531,0.00877994,-0.0238624,-0.999715,-0.000400645,-0.129065,2.53029e-05,0.00196878,-0.129159,0.0259996,-0.0131177,0.185313,0.982592,-0.276559,0.00221494,0.0202973,0.0105043,0.279749,-0.0194012,-0.18949,0.981691,0.271128,0.00204951,0.0235982,0.0105223,-0.273687,
1453,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.15467,-0.975795,-0.154599,0.243421,0.0155919,0.600471,0.148545,0.0362002,-0.0506662,-0.995737,-0.0770786,0.190011,0.000669102,0.538682,0.155462,0.102734,-0.23177,-0.955777,-0.18103,0.278156,0.00553986,0.566989,0.139245,0.0754411,nan,nan,nan,nan,nan,0.47328,0.173431,-0.0631104,
1454,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.994098,0.108473,-0.00184761,-0.672261,0.0217034,0.67662,-0.00336696,1.74348e-05,0.975641,-0.219353,-0.0030864,0.630464,0.0168741,-0.641116,0.022626,0.000648186,-0.00798144,-0.999966,-0.00185301,0.163072,0.000518507,0.01563,0.162945,0.00374075,-0.0274754,-0.999622,-0.000882556,-0.138595,1.82419e-05,0.00243038,-0.13874,0.0283586,0.00598084,0.102986,0.994665,-0.277212,0.00302308,0.0308794,0.00980193,0.277499,-0.0104577,-0.0988912,0.995043,0.279173,0.00283146,0.0344911,0.0111545,-0.279092,
1455,39,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.985743,0.168114,-0.00697435,-0.654505,0.0198103,0.66461,-0.00358268,0.00392396,0.992609,-0.121334,0.0021455,0.645698,0.0231592,-0.649522,0.00808199,0.00197561,-0.0196394,-0.999802,-0.00331024,0.159929,0.000486313,0.00694674,0.159799,0.007712,-0.00243379,-0.999996,0.00134688,-0.159153,2.14154e-05,0.0386161,-0.159264,-0.0119787,-0.00805791,0.0911135,0.995808,-0.28265,0.00278101,-0.004944,-0.00250281,0.284029,0.00147333,-0.0925062,0.995711,0.271154,0.00290814,-0.000971298,-0.00136698,-0.272447,
1456,39,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.995205,0.0977425,0.00358188,-0.660929,0.0213461,0.665008,-0.00941902,0.00859617,0.9815,-0.191437,0.00311176,0.637276,0.0173568,-0.646678,0.0134528,0.00453671,-0.00748323,-0.999971,0.0011344,0.161392,0.000488734,0.00896439,0.161334,0.0046826,-0.0263727,-0.999651,-0.00177607,-0.157779,1.81424e-05,-0.000134003,-0.157825,-0.00302037,0.00354472,0.0898162,0.995952,-0.282195,0.00290781,0.0173618,4.35455e-05,0.283276,-0.0130754,-0.0913174,0.995736,0.271458,0.00283267,0.0200277,-0.00215377,-0.272554,
1457,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.879907,0.475146,-0.000682877,-0.560332,0.014475,0.641993,-0.00959986,0.00191161,0.994544,-0.104303,-0.00196883,0.610812,0.00982599,-0.613408,0.00712359,0.00443404,-0.0314345,-0.999502,0.00286373,0.180764,0.00018054,-0.0168428,0.181392,0.00299731,0.00118935,-0.999999,6.25087e-05,-0.176707,2.05433e-05,0.124235,-0.176558,0.0110448,0.00191612,0.0854632,0.996339,-0.278744,0.00168953,0.00955054,-0.00269395,0.279981,-0.0101867,-0.0791972,0.996807,0.278006,0.00165284,0.00788853,-0.00316342,-0.279067,
1458,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.876676,0.481074,-0.00277049,-0.556497,0.0141253,0.639259,-0.00815854,0.000237324,0.995721,-0.0924094,-0.000778475,0.609243,0.0101759,-0.610945,0.00984656,0.00283393,-0.0305483,-0.999528,0.00335738,0.181008,0.000191453,-0.0156599,0.181577,0.00122455,0.00193086,-0.999998,0.000646394,-0.176857,3.40993e-05,0.109166,-0.176651,-0.00688138,0.00255214,0.0823536,0.9966,-0.279231,0.0017821,0.00649869,-0.000723887,0.280227,-0.00959708,-0.0805128,0.996707,0.278391,0.0017306,0.0092427,-0.00271351,-0.279441,
1459,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.947119,0.320882,-0.000676373,-0.617369,0.0198577,0.650099,0.00514093,0.00216873,0.990703,-0.134421,0.0209356,0.62902,0.0251647,-0.633492,0.00884128,-0.0109387,-0.0188061,-0.99979,0.00815664,0.161926,0.000443029,0.00432526,0.161888,0.00109595,0.00579506,-0.999964,0.00620455,-0.146088,3.8949e-05,0.0354444,-0.145919,-0.00507967,-0.010032,0.169964,0.985399,-0.252414,0.00501553,-0.00645136,0.00586787,0.255076,0.00138858,-0.150583,0.988596,0.259561,0.0046931,-0.00603874,0.00101953,-0.262391,
1460,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.948393,0.317098,0.000626508,-0.616772,0.0204945,0.648807,0.00457185,-0.00153072,0.991878,-0.126051,0.0170171,0.626697,0.0253221,-0.630597,0.00855805,-0.00841828,-0.0181277,-0.999806,0.00767643,0.161994,0.000497679,-0.00186539,0.162055,-0.000636185,0.00584259,-0.999965,0.00594962,-0.1462,2.37937e-05,0.00087692,-0.146155,0.00752018,-0.0102908,0.166455,0.985995,-0.2521,0.00486476,-0.00455727,0.00572593,0.254667,0.000795628,-0.148464,0.988918,0.258321,0.00483574,-0.00722416,0.00260059,-0.26082,
