id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
9302,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.959567,0.281448,0.00430614,-0.623248,0.0136739,0.648672,0.00283435,0.00141826,0.0280374,0.980141,-0.198283,-0.00289574,0.620098,0.0147992,-0.631954,0.003592,-0.00637229,0.0425532,-0.0126915,-0.999898,0.00661866,0.163462,0.000622621,-0.00274397,0.163494,-0.00297865,0.208758,0.00169915,-0.999956,0.00927233,-0.148636,1.89425e-05,0.0406201,-0.149055,-0.0519709,0.29003,-0.00898368,0.165447,0.986178,-0.255721,0.0045223,-0.00152453,0.00708442,0.258103,0.0266667,-0.00294458,-0.146628,0.989187,0.261842,0.00417086,-0.000452224,0.0012979,-0.264513,0.0345745,0.320736,0.303419,0.94601,1.35576,1.20202,0.886605,0.567283,0.574812,0.466298,0.478448,1.01327,1.02606,0.279819,0.199949,0.999896,0.156048,0.999981,0.986902,0.974604,0.987539,
7854,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.844344,0.534286,-0.0402669,-0.533463,0.0471467,0.63879,-0.0114272,-0.00521336,0.00921659,0.990968,-0.130537,0.0307011,0.605187,0.0350294,-0.610085,0.00426874,-0.00179017,0.0629371,-0.0288789,-0.999581,0.00218355,0.179491,0.000243718,-0.00756122,0.179785,0.000126195,0.458207,-0.000449833,-0.999999,0.00139395,-0.173961,1.80926e-05,0.0429396,-0.174083,-0.0730468,0.132296,-0.00341154,0.187319,0.982293,-0.281984,0.00345147,0.00775711,-0.0282994,0.292491,0.0618893,-0.00425786,-0.120877,0.992658,0.280632,0.00325897,-0.00263634,-0.00417795,-0.283228,0.106888,0.370149,0.338516,0.91454,1.37638,1.11285,0.808534,0.624749,0.624393,0.508997,0.518657,0.99943,1.01898,0.5351,0.130153,0.999596,0.154106,1,1.00057,0.981374,0.980814,
9243,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.892837,0.450352,0.00493888,-0.554664,0.0113052,0.627375,-0.0122099,0.00387019,0.0597015,0.993917,-0.109995,-0.00544526,0.59764,0.0103072,-0.600392,0.00806484,0.00236012,0.0702179,-0.0227389,-0.999741,0.00129312,0.184517,0.000133488,-0.00992986,0.184791,0.000452656,0.306709,0.00505299,-0.999987,-0.000181327,-0.175701,3.64907e-05,0.0506821,-0.175449,0.0131884,0.0680851,-0.00285062,0.120873,0.992664,-0.282828,0.00263608,-0.00137663,-0.0106843,0.286215,0.0790754,-0.00265617,-0.0907493,0.99587,0.281452,0.00199635,0.00385107,-0.0061439,-0.283169,0.163995,0.376365,0.345412,0.917757,1.32913,1.114,0.838143,0.605505,0.604329,0.52533,0.530932,0.998058,1.01066,0.44584,0.115017,0.999614,0.105811,1,1.00195,0.989448,0.987527,
9683,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.88781,0.460171,-0.00602951,-0.555885,0.0127484,0.630014,-0.00754349,-0.00394893,0.0392157,0.98651,-0.163662,-0.00356326,0.598982,0.0110069,-0.60648,0.00414578,0.00128508,0.064133,-0.0232035,-0.99973,0.00129868,0.182618,0.000247771,-0.00291684,0.182732,-0.00266045,0.516163,0.00266885,-0.999996,0.001132,-0.174693,3.80611e-05,0.0355252,-0.174699,-0.0883622,0.102439,-0.0079224,0.172257,0.98502,-0.280045,0.0033517,0.00682838,-0.0288087,0.289397,0.0460733,0.000261639,-0.114111,0.993468,0.278692,0.00317253,0.0087658,-0.00254996,-0.28082,0.0801435,0.372231,0.343439,0.922652,1.35218,1.1129,0.823044,0.610641,0.620838,0.50326,0.519993,1.0167,1.03325,0.457808,0.166295,0.999665,0.143192,0.999965,0.983575,0.967821,0.983982,
8179,592,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.972739,0.231673,0.0103177,-0.642003,0.0185277,0.659906,0.000242993,0.00295386,0.0190217,0.996436,-0.0822106,0.0188947,0.62191,0.0197206,-0.622757,0.0143032,-0.0103648,0.0786241,-0.0333779,-0.999436,0.00354607,0.176671,0.000599661,0.0129162,0.176333,-0.00180897,0.241513,0.00256141,-0.999995,0.00180516,-0.153323,1.22294e-05,0.0360215,-0.153477,-0.135761,0.319066,-0.0100226,0.200347,0.979674,-0.275651,0.00316846,-0.00259513,-0.0153334,0.284479,0.102649,-0.00803916,-0.144363,0.989492,0.278406,0.00318067,-0.00505882,0.00851877,-0.280161,0.11772,0.351923,0.307698,0.874335,1.33292,1.23125,0.92372,0.61566,0.617235,0.492361,0.509316,1.00256,1.03444,0.229193,0.0847778,0.999354,0.172371,0.999998,0.997448,0.96671,0.969183,
7777,270,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.990977,0.133061,0.0160757,-0.65821,0.016129,0.666824,-0.0203643,0.00698989,0.0859599,0.988233,-0.152804,0.00684516,0.641235,0.0179786,-0.648461,0.00228627,-0.00807041,0.108635,-0.0232873,-0.999726,0.00222674,0.162885,0.000945436,0.011335,0.162663,-0.00110067,0.12334,-0.00120053,-0.999997,-0.00191269,-0.151461,3.18707e-05,-0.0292975,-0.151561,0.0703141,0.203065,-0.0070214,0.193867,0.981003,-0.268934,0.00294572,0.0103133,-0.00217251,0.274645,0.127182,-0.00507251,-0.22865,0.973495,0.267842,0.00321405,0.0277458,-0.0113004,-0.277644,0.139181,0.328115,0.300182,0.91487,1.35677,1.26604,0.933122,0.613088,0.61647,0.471354,0.486591,1.00552,1.03233,0.134268,0.151621,0.999756,0.211269,0.999998,0.994514,0.968686,0.97403,
242,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.972786,0.231021,0.0177698,-0.642409,0.0187222,0.662685,-0.0104754,0.00998274,0.0346821,0.992115,-0.125279,0.00360952,0.625746,0.0183757,-0.629462,0.00970058,-0.00888731,0.077135,-0.0296208,-0.999555,-0.0034141,0.15694,0.000403867,0.0181236,0.15648,-0.00195863,0.183286,-0.0032721,-0.999994,0.00114094,-0.148221,1.53763e-05,0.0577826,-0.148512,-0.0884437,0.191667,-0.0124721,0.252019,0.967642,-0.269736,0.0037983,-0.0103701,-0.00977966,0.281169,0.0777512,-0.0110476,-0.195511,0.980639,0.276457,0.00337939,0.0115505,-0.000796418,-0.281944,0.127273,0.321337,0.28868,0.898371,1.34517,1.23668,0.919351,0.626754,0.630941,0.479204,0.498064,1.00668,1.03936,0.23424,0.122033,0.999653,0.223788,0.999999,0.993363,0.962133,0.968561,
244,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.967136,0.253358,0.0213892,-0.625479,0.0182291,0.647309,-0.00280802,0.00722456,0.0670554,0.993532,-0.112837,0.0127608,0.614429,0.0195783,-0.617456,0.00731108,-0.011114,0.0777778,-0.02949,-0.999561,-0.00274011,0.157808,0.000656798,0.0111621,0.157554,-0.00232669,0.12729,0.00263732,-0.999996,0.000543773,-0.144466,0.000286268,-0.0495547,-0.144618,-0.0375494,0.131818,-0.0141136,0.261695,0.965047,-0.268967,0.00534142,-0.00841837,0.00131628,0.278229,0.0535248,-0.0048731,-0.21643,0.976286,0.274346,0.00528779,0.00220232,0.00242957,-0.280461,0.0851648,0.32161,0.28273,0.879108,1.31895,1.209,0.916636,0.625595,0.636629,0.467436,0.496694,1.01764,1.06259,0.250864,0.115466,0.999484,0.23908,0.999954,0.982669,0.941095,0.957692,
9517,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.960296,0.278739,0.0117056,-0.627239,0.0174981,0.653884,-0.00263466,0.004343,0.033033,0.993242,-0.115884,0.00638546,0.618689,0.0230045,-0.621814,0.0087519,-0.00979185,0.0608466,-0.0336698,-0.999433,0.000203412,0.158154,0.000317042,0.0121325,0.157834,-0.00269359,0.248039,0.00437052,-0.999989,-0.00162685,-0.145895,7.93073e-06,-0.00514338,-0.145904,-0.00944012,0.328638,-0.0180489,0.262248,0.964832,-0.266969,0.00417711,-0.00893206,-0.0158453,0.280839,0.117233,-0.0035431,-0.214138,0.976797,0.272134,0.00443947,-0.00818763,0.00146581,-0.278306,0.0711409,0.327025,0.280802,0.858657,1.33483,1.21598,0.910961,0.618649,0.635918,0.458532,0.496947,1.02791,1.08378,0.274558,0.120227,0.999276,0.238205,0.999886,0.972845,0.922698,0.948453,
10201,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.972967,0.230857,0.00640067,-0.643906,0.0185034,0.664066,-0.00975656,0.00693918,0.0237389,0.996144,-0.0844071,0.0239235,0.628839,0.0180363,-0.630482,0.0064963,-0.00999518,0.0935829,-0.0332056,-0.999441,0.00384918,0.158451,0.000413437,0.0115797,0.158151,-0.000943101,0.182252,-0.000869789,-0.999995,-0.00309993,-0.149448,2.02594e-05,0.00124238,-0.149663,0.0689201,0.362869,-0.0145511,0.187925,0.982076,-0.269205,0.00331192,0.00502851,0.00119796,0.273964,0.0823529,-0.011731,-0.245438,0.969341,0.271504,0.00345822,0.0147988,-0.0275424,-0.286885,0.100849,0.327873,0.287699,0.87747,1.34101,1.24581,0.929011,0.618553,0.622718,0.473024,0.494743,1.00673,1.04591,0.231708,0.0835646,0.999477,0.216719,0.999996,0.993313,0.956101,0.962538,
