id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,TFW,TBW,DFW,DBW,TWL,TWR,DWL,DWR,WFL,WFR,WBL,WBR,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
9302,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.963371,-0.268173,0.000863693,0.626048,0.0135485,0.647588,0.00813946,0.00256269,0.0314465,0.975516,-0.219752,0.00879996,0.622436,0.0146202,-0.634126,0.0172997,-0.00391121,0.0276923,-0.018221,-0.999797,0.00856141,0.175306,0.000596564,0.00425661,0.175254,-0.00121045,0.197927,0.00528668,0.999922,-0.011345,0.136645,2.16252e-05,0.0174227,-0.136725,0.0019725,0.28,0.00803679,-0.163514,-0.986508,0.260444,0.00469987,-0.00100598,0.0211048,0.260499,0.0065703,-0.00131653,-0.158615,0.98734,0.259792,0.00483407,-0.00537344,0.0142008,-0.260849,0.0116429,-0.319693,-0.304151,0.951383,1.35696,1.2004,0.884628,0.566054,0.577618,0.462302,0.477604,1.02043,1.0331,0.566054,0.577618,0.462302,0.477604,1.35577,1.35817,1.19912,1.20174,0.332504,0.33034,0.32122,0.319029,0.273262,0.2146,0.999916,0.161061,0.999977,0.97998,0.967962,0.987736,
7854,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.837258,-0.544836,0.0463974,0.539191,0.0464244,0.644618,-0.0017126,-0.00889964,0.00440529,0.992796,-0.119814,0.000269793,0.602051,0.0181012,-0.605585,0.00695188,0.0146998,0.0580046,-0.0206218,-0.999786,0.00179187,0.184956,0.000261213,-0.0073794,0.185151,0.00187048,0.450505,-0.00758292,0.999969,0.00202001,0.166887,0.000496477,0.082855,-0.166084,-0.0889599,0.19305,-0.0133528,-0.17207,-0.984994,0.285688,0.00330698,0.0307881,-0.0170891,0.292608,0.0409234,0.0172314,-0.116865,0.992998,0.279296,0.00327399,0.00747884,0.00157069,-0.28121,0.12922,-0.368342,-0.336886,0.914601,1.37612,1.11326,0.808985,0.619165,0.621759,0.511462,0.522767,1.00419,1.0221,0.619165,0.621759,0.511462,0.522767,1.35845,1.39379,1.09898,1.12756,0.372725,0.378148,0.400222,0.406304,0.539052,0.127339,0.999602,0.144476,0.999993,0.995827,0.978374,0.982473,
9243,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.892494,-0.451037,0.00457843,0.562143,0.0117336,0.63023,-0.000762366,-0.00233346,0.0620985,0.99565,-0.0930101,-0.00545865,0.592268,0.0116181,-0.59424,0.00621944,0.00631435,0.076555,-0.0154029,-0.999881,-0.000364084,0.190215,0.000152653,-0.0196721,0.190537,0.00940196,0.309474,-0.0141294,0.999898,0.00182887,0.169684,4.35314e-05,0.0355539,-0.169159,-0.0218298,0.108787,-0.00927771,-0.17337,-0.984813,0.286715,0.00281619,0.0216562,-0.0166819,0.293869,0.0523504,0.0206365,-0.0928097,0.99547,0.279318,0.00217879,0.00537615,0.000655665,-0.280639,0.155294,-0.376928,-0.344003,0.912649,1.32224,1.11432,0.842749,0.61285,0.622756,0.511568,0.528787,1.01616,1.03366,0.61285,0.622756,0.511568,0.528787,1.32209,1.32242,1.11445,1.11425,0.38029,0.385371,0.383841,0.387827,0.438386,0.10707,0.999564,0.133093,0.999936,0.984093,0.967437,0.983075,
9683,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.879817,-0.475279,0.0056122,0.558435,0.0309894,0.636162,-0.00283531,-0.0136734,0.0316742,0.987225,-0.158383,-0.0173738,0.594046,0.0110803,-0.600273,0.00790155,0.0109593,0.0558252,-0.0166808,-0.999859,-0.00176885,0.188278,0.000263464,0.00099552,0.188279,0.00501496,0.524505,-0.00955786,0.999954,-0.00128019,0.168409,7.44391e-05,-0.0714368,-0.169249,-0.116959,0.118483,-0.0101005,-0.177254,-0.984113,0.282964,0.00314951,0.015397,-0.0249596,0.291869,0.0398366,0.0225688,-0.114038,0.99322,0.277425,0.00308517,0.0208136,0.0017779,-0.279587,0.0951821,-0.371636,-0.342625,0.921938,1.35157,1.10793,0.819741,0.610336,0.623407,0.50138,0.520638,1.02142,1.03841,0.610336,0.623407,0.50138,0.520638,1.35537,1.34779,1.11053,1.10542,0.380319,0.381816,0.390749,0.391103,0.466855,0.167837,0.999656,0.145671,0.999922,0.979032,0.96301,0.983635,
8179,592,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.970579,-0.240495,-0.0117974,0.624703,0.0193298,0.643478,-9.26472e-06,0.0135344,0.0297297,0.997928,-0.0641516,0.00485328,0.637002,0.019748,-0.638606,-0.00412924,0.00328154,0.0677083,-0.0185569,-0.99981,0.00599855,0.16458,0.000294211,-0.014773,0.16493,0.00744339,0.23518,-0.0186898,0.999818,-0.00376526,0.164947,1.50937e-05,-0.0347463,-0.166053,-0.113331,0.336245,0.013813,-0.20569,-0.97852,0.281809,0.00237984,-0.00713197,-0.031493,0.294515,0.103376,-0.0066252,-0.154438,0.98798,0.268754,0.00358756,-0.0206328,-0.00161462,-0.272414,0.0956522,-0.352873,-0.306997,0.869993,1.33115,1.23276,0.926088,0.620035,0.620755,0.490692,0.508169,1.00116,1.03562,0.620035,0.620755,0.490692,0.508169,1.33376,1.32855,1.23509,1.2305,0.357989,0.362079,0.317995,0.321882,0.222328,0.0827925,0.999306,0.180092,0.999972,0.998841,0.965608,0.966729,
7777,270,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.990177,-0.139166,-0.0134817,0.654821,0.0147347,0.663418,-0.0158683,0.00945145,0.101156,0.988093,-0.153401,0.0118762,0.646883,0.0154671,-0.655446,-0.00544446,-0.00649632,0.0783784,-0.0139648,-0.999893,0.0043191,0.161225,0.00075864,-0.00221428,0.161295,0.00522079,0.128852,-0.00917156,0.999954,-0.0027007,0.152592,4.83514e-05,-0.0471443,-0.152995,0.0135805,0.111111,0.0119997,-0.207238,-0.978217,0.273805,0.0029447,-0.000923549,-0.000920978,0.280086,0.127065,-0.00763657,-0.200735,0.979616,0.260598,0.00393532,-0.0128411,-0.00421651,-0.266984,0.159402,-0.328363,-0.299046,0.910716,1.36116,1.2682,0.931708,0.609045,0.609917,0.47223,0.485261,1.00143,1.02759,0.609045,0.609917,0.47223,0.485261,1.36188,1.36044,1.26894,1.2675,0.339218,0.34027,0.307479,0.30848,0.13009,0.162468,0.999732,0.203998,0.99999,0.998571,0.973147,0.97454,
242,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.966749,-0.255598,-0.00819675,0.628972,0.0162303,0.65049,0.000176679,0.00815673,0.053125,0.993493,-0.112301,0.0189842,0.637794,0.038246,-0.641512,0.0041285,0.000356737,0.0769231,-0.0122885,-0.99987,0.0104053,0.159092,0.000411047,-0.000528418,0.159132,0.00122341,0.180136,-0.0143461,0.999814,-0.0128545,0.145161,1.83216e-05,-0.0226057,-0.146267,-0.0587391,0.136364,0.0145516,-0.274877,-0.961369,0.278739,0.0034782,-0.0156701,-0.0254742,0.296986,0.0830671,-0.00609797,-0.16501,0.986273,0.271185,0.00251787,-0.0219464,-0.00324186,-0.275638,0.104061,-0.320859,-0.287973,0.897509,1.34594,1.23359,0.916527,0.628595,0.631796,0.48349,0.501316,1.00509,1.03687,0.628595,0.631796,0.48349,0.501316,1.34411,1.34778,1.23202,1.23523,0.329033,0.334627,0.301879,0.306357,0.241709,0.126566,0.999645,0.220101,0.99996,0.994934,0.964442,0.969353,
244,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.960135,-0.279535,-0.00120148,0.610074,0.0173924,0.632073,0.0114071,0.00785582,0.0574018,0.995832,-0.0908759,0.00773214,0.629701,0.0209677,-0.632378,-0.000833954,-0.00444823,0.0866142,-0.0111106,-0.999878,0.0110074,0.16067,0.000528845,-0.016369,0.1609,0.00254593,0.133595,-0.022993,0.999654,-0.0127848,0.140993,2.66593e-05,-0.0461723,-0.142445,-0.0266587,0.114815,0.0208087,-0.277087,-0.96062,0.280011,0.00359613,-0.00419927,-0.0143364,0.295534,0.0686499,-0.00310213,-0.191507,0.981486,0.268809,0.00387884,-0.0214654,0.00281444,-0.273398,0.0770252,-0.322681,-0.281476,0.872305,1.31891,1.20766,0.915655,0.628399,0.638036,0.472729,0.501468,1.01534,1.06079,0.628399,0.638036,0.472729,0.501468,1.31836,1.31947,1.20709,1.20841,0.33206,0.336234,0.297515,0.301162,0.257383,0.113754,0.999418,0.234441,0.999829,0.984896,0.94269,0.957147,
9517,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.961335,-0.275381,-0.000892033,0.616412,0.0195412,0.63769,0.0122479,0.00633729,0.0216718,0.995892,-0.0901759,-0.00815921,0.635758,0.0196038,-0.638155,0.00241434,0.000827013,0.0504202,-0.0148217,-0.999777,0.015054,0.160276,0.000334706,0.00448161,0.160298,0.00352839,0.232443,-0.0237385,0.999613,-0.0144969,0.142593,7.92656e-06,-0.0271723,-0.144006,-0.0490847,0.347328,0.0175236,-0.26514,-0.964051,0.276391,0.00382989,-0.0452307,-0.00444831,0.287099,0.0932704,-0.000795235,-0.171186,0.985238,0.267053,0.00384637,-0.0187723,0.00238063,-0.270656,0.116866,-0.326864,-0.279796,0.856001,1.3304,1.22109,0.917834,0.617023,0.625776,0.47065,0.499791,1.01418,1.06192,0.617023,0.625776,0.47065,0.499791,1.33489,1.32593,1.22459,1.21776,0.334784,0.339632,0.293737,0.298485,0.25248,0.113798,0.999256,0.218313,0.999849,0.986014,0.941694,0.955051,
10201,17,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.96993,-0.243301,0.00640675,0.63058,0.0191392,0.650026,0.000641568,0.00869631,0.0296736,0.995523,-0.0944136,0.00455821,0.643402,0.017741,-0.646945,-0.00647167,0.00773151,0.0819672,-0.0132241,-0.999912,-0.00132864,0.160966,0.000372921,-0.00195405,0.160992,0.0100318,0.183532,-0.0181416,0.999804,0.00791715,0.146228,2.21288e-05,-0.0203313,-0.14714,0.0648591,0.264865,0.0125945,-0.155339,-0.987781,0.280427,0.00264182,-0.0129319,0.00387297,0.283122,0.104247,-0.00763906,-0.252646,0.967529,0.263703,0.00358955,0.00763359,-0.0232222,-0.278557,0.0958751,-0.326998,-0.288116,0.881095,1.34532,1.24236,0.923468,0.619158,0.615637,0.482505,0.495477,0.994314,1.02688,0.619158,0.615637,0.482505,0.495477,1.34106,1.34959,1.23946,1.2453,0.337661,0.335139,0.302561,0.301404,0.225668,0.11246,0.999508,0.204076,0.999988,1.00572,0.97382,0.968282,
