id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,TFW,TBW,DFW,DBW,TWL,TWR,DWL,DWR,WFL,WFR,WBL,WBR,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
1451,601,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.986093,-0.166078,-0.00616618,0.670464,0.0166613,0.679146,0.00417483,0.0111575,0.0229226,0.975455,-0.220195,0.00141801,0.637687,0.019265,-0.648721,0.0221751,-0.00397871,0.0664557,-0.00429434,-0.999991,-0.000203596,0.156577,0.000203522,0.0153139,0.156512,0.00637075,0.492795,0.0254815,0.999673,-0.0018951,0.12756,5.2059e-05,-0.0187652,-0.12712,0.00199802,0.186709,0.0144182,-0.185622,-0.982515,0.277507,0.0021153,0.0225948,0.0122811,0.280457,0.144595,-0.0186337,-0.187429,0.982101,0.270789,0.00198805,0.0155946,0.0107403,-0.273379,0.186327,-0.271013,-0.297913,1.09926,1.3836,1.2719,0.919268,0.602975,0.610357,0.500341,0.49692,1.01224,0.993162,0.602975,0.610357,0.500341,0.49692,1.38525,1.38196,1.2731,1.2707,0.281935,0.280189,0.309413,0.308114,0.191155,0.195267,0.999776,0.186551,0.999991,0.987906,1.00688,1.01921,
1452,601,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.986819,-0.161429,-0.0113617,0.665932,0.0180157,0.674863,-0.00114189,0.0131333,0.0393258,0.980269,-0.197535,0.00720878,0.637298,0.0184564,-0.645484,0.0226382,-0.0107898,0.0888889,-0.00443023,-0.99999,0.00103315,0.157114,0.000223333,0.0158746,0.157052,0.00662384,0.493756,0.0241458,0.999708,0.000597189,0.128835,2.95019e-05,0.00888561,-0.1291,0.0224762,0.159509,0.0126693,-0.182391,-0.983144,0.277638,0.00218049,0.0294803,0.0126511,0.280431,0.145669,-0.0189808,-0.186257,0.982318,0.271269,0.00195468,0.0194549,0.0105783,-0.27377,0.192612,-0.273711,-0.298731,1.09141,1.37185,1.26748,0.923921,0.60507,0.608657,0.50252,0.496447,1.00593,0.987916,0.60507,0.608657,0.50252,0.496447,1.37306,1.37064,1.26864,1.26632,0.282412,0.282853,0.308817,0.309433,0.185222,0.173812,0.999806,0.184349,0.999979,0.994106,1.01223,1.01823,
1453,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.148087,-0.971635,-0.18438,0.23891,0.0126146,0.580052,0.152185,0.0278932,0,-0.0461982,-0.996123,-0.0748709,0.186875,0.00075338,0.5342,0.154326,0.113101,0.171975,-0.453593,-0.321615,-0.831154,0.383282,0.00315617,0.646722,0.125735,0.0595499,0,nan,nan,nan,nan,nan,0.47328,0.173431,-0.0631104,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.183277,nan,0.323225,nan,0.168905,nan,0.321126,0,0,0,nan,nan,nan,nan,nan,
1454,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.993079,-0.117361,0.00458025,0.670974,0.0223537,0.676111,-0.00390858,-0.000198153,0.0773333,0.974413,-0.224756,-0.00186294,0.631586,0.0164346,-0.642577,0.0242738,-0.00325093,0.167647,-0.00781985,-0.999969,-0.00108872,0.163298,0.000469067,0.0129568,0.163203,-0.000439984,0.194343,0.0269257,0.999637,0.000476637,0.13854,1.67592e-05,0.0583442,-0.140174,0.0243298,0.416938,-0.00494228,-0.093247,-0.995631,0.278483,0.00280601,0.0331824,0.00647518,0.278934,0.0934959,-0.00886553,-0.0924811,0.995675,0.279663,0.00280495,0.0340987,0.00607698,-0.28001,0.105834,-0.290141,-0.314338,1.0834,1.37068,1.26641,0.923926,0.592416,0.580308,0.537685,0.521979,0.979561,0.97079,0.592416,0.580308,0.537685,0.521979,1.36988,1.37151,1.26566,1.26721,0.297449,0.297132,0.319074,0.318901,0.144059,0.198438,0.999817,0.0928664,0.999904,1.02087,1.03009,1.00904,
1455,39,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.985149,-0.171668,-0.00347868,0.655576,0.0176951,0.666907,-0.00846769,0.00775697,0.0521739,0.992349,-0.123327,-0.00585254,0.646882,0.0208407,-0.650848,0.00800011,0.00457585,0.147945,-0.0198393,-0.999803,0.000118859,0.160322,0.0004523,0.00113672,0.160332,0.00286047,0.210909,0.00232945,0.999996,-0.0017806,0.158392,1.91484e-05,0.0286485,-0.158447,0.00697871,0.200501,0.00928516,-0.09007,-0.995892,0.283892,0.0026055,0.00107899,-0.00932782,0.285916,0.0944584,-0.000828171,-0.0973338,0.995251,0.272127,0.00272938,-0.0037828,-0.00189071,-0.273614,0.0572172,-0.329779,-0.307526,0.932519,1.36468,1.27033,0.930862,0.582342,0.59449,0.520621,0.536119,1.02086,1.02977,0.582342,0.59449,0.520621,0.536119,1.36758,1.3618,1.2728,1.2679,0.334332,0.332985,0.31424,0.313064,0.173964,0.121017,0.999847,0.0937031,0.999964,0.979566,0.971093,0.99135,
1456,39,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.994947,-0.100381,0.00224307,0.661193,0.0215036,0.665649,-0.0107499,0.00577095,0.142091,0.980525,-0.196371,-0.002999,0.637203,0.0171545,-0.647739,0.0104781,0.00689944,0.0640669,-0.0085824,-0.99996,0.00264205,0.161615,0.000437908,0.0131336,0.161522,0.00494218,0.202912,0.0269043,0.999636,0.00186722,0.158008,1.68528e-05,0.0239949,-0.158727,0.00862067,0.341818,-0.000708128,-0.0951638,-0.995461,0.28331,0.00281029,0.00858262,-0.0102032,0.285571,0.114734,-0.0121623,-0.0830382,0.996472,0.272031,0.00292091,0.020471,-0.00399017,-0.273077,0.112532,-0.30828,-0.331499,1.07532,1.36075,1.26532,0.92987,0.59139,0.580372,0.535699,0.521289,0.981369,0.9731,0.59139,0.580372,0.535699,0.521289,1.36087,1.36065,1.26582,1.26486,0.312651,0.315495,0.334066,0.336986,0.127114,0.16992,0.999832,0.0891029,0.999917,1.01898,1.02764,1.0085,
1457,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.879383,-0.476109,0.00242742,0.56105,0.013577,0.641882,-0.0071599,0.000533951,0.0742459,0.994969,-0.100176,-0.000737453,0.610751,0.010558,-0.612986,0.00847842,0.000119385,0.10049,-0.0317727,-0.999491,0.00280896,0.180952,0.000162386,-0.0167539,0.181577,0.000278716,0.657114,-0.00147178,0.999999,-1.22317e-05,0.176964,1.87822e-05,0.129744,-0.176773,-0.00215972,0.284431,-0.000138026,-0.0852546,-0.996359,0.279613,0.00158803,0.0011423,-0.0052017,0.281079,0.126492,-0.00924782,-0.0825756,0.996542,0.278057,0.00168005,0.00882888,-0.00753689,-0.279564,0.166464,-0.377749,-0.339741,0.899384,1.36501,1.14375,0.837904,0.595571,0.582384,0.53158,0.526932,0.977858,0.991256,0.595571,0.582384,0.53158,0.526932,1.36448,1.36558,1.1437,1.1438,0.380294,0.381828,0.386074,0.387987,0.474816,0.10164,0.999447,0.0839169,0.999956,1.02264,1.00882,0.986483,
1458,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.874591,-0.484861,0.00095381,0.556347,0.0137536,0.639992,-0.00697674,0.00178682,0.0709534,0.996382,-0.0849866,-0.000918961,0.610513,0.0103055,-0.612114,0.00721457,0.000566977,0.1,-0.0312113,-0.99951,0.00241804,0.181317,0.000167053,-0.0139331,0.181846,0.00213156,0.640369,-0.00214227,0.999998,-0.000199429,0.177242,2.894e-05,0.119182,-0.176983,0.0165122,0.214765,-0.00266284,-0.0826667,-0.996574,0.280226,0.00161358,0.00546903,-0.0044312,0.281543,0.111913,-0.00863875,-0.0822183,0.996577,0.279086,0.00162521,0.00544167,-0.00738047,-0.280606,0.147202,-0.378521,-0.340466,0.899465,1.36149,1.14122,0.838216,0.597905,0.581983,0.534902,0.527856,0.97337,0.986827,0.597905,0.581983,0.534902,0.527856,1.36153,1.36149,1.1416,1.14085,0.380691,0.381848,0.389041,0.390493,0.482986,0.087121,0.999444,0.0824442,0.999936,1.02736,1.01335,0.986363,
1459,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.940783,-0.338969,-0.0052629,0.615076,0.0196921,0.652407,0.00382929,0.000823701,0.0272727,0.990842,-0.134856,0.00675042,0.628825,0.0254588,-0.633642,0.00704668,-0.00517249,0.048048,-0.0196919,-0.999737,0.0117809,0.161722,0.000465071,-0.00667492,0.161837,-0.00503699,0.215909,-0.00671529,0.999948,-0.00772813,0.146229,4.04291e-05,0.00939829,-0.146435,-0.0339015,0.36747,0.0115355,-0.163071,-0.986547,0.25289,0.00502273,-0.0105233,0.00445399,0.255479,0.0244216,0.000687621,-0.158471,0.987363,0.259029,0.00457339,-0.00782512,0.00138963,-0.262115,0.033121,-0.324092,-0.292142,0.901419,1.35992,1.21096,0.890467,0.559657,0.573513,0.454531,0.47728,1.02476,1.05005,0.559657,0.573513,0.454531,0.47728,1.36068,1.35919,1.21214,1.20989,0.330892,0.33228,0.312685,0.314312,0.332649,0.14151,0.999651,0.160774,0.999923,0.97584,0.952336,0.975914,
1460,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.945414,-0.325809,-0.00635182,0.61572,0.0198228,0.649299,0.0056876,0.00168284,0.0357143,0.991235,-0.130504,0.0205585,0.62753,0.0260066,-0.631842,0.00786542,-0.00972244,0.0884146,-0.0186413,-0.999796,0.0078226,0.162238,0.000483221,-0.00379794,0.162314,-0.00358672,0.219588,-0.00594011,0.99996,-0.00673082,0.146525,2.47401e-05,-0.0301548,-0.146724,-0.00196976,0.440367,0.00916113,-0.169824,-0.985432,0.25321,0.00458344,-0.0031644,0.00312513,0.256386,0.0179718,-0.00137185,-0.153192,0.988195,0.259022,0.00466055,-0.00380404,0.00366271,-0.261554,0.0271669,-0.323779,-0.294057,0.908203,1.35314,1.2095,0.893849,0.563188,0.571186,0.457444,0.474328,1.0142,1.03691,0.563188,0.571186,0.457444,0.474328,1.35011,1.35619,1.20724,1.21183,0.330527,0.331654,0.313789,0.314508,0.320194,0.136418,0.999698,0.161517,0.999969,0.985998,0.964405,0.9781,
