id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,widthTopFront,widthTopBack,widthDownFront,widthDownBack,widthTopRatio,widthDownRatio,TFW,TBW,DFW,DBW,TWL,TWR,DWL,DWR,WFL,WFR,WBL,WBR,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
1451,601,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.988218,-0.152796,-0.00891376,0.657807,0.0186063,0.665536,7.61634e-05,0.0113385,0.0346821,0.976215,-0.216766,-0.00414051,0.65037,0.0173515,-0.661678,0.0204037,0.00182159,0.0776699,-0.0039003,-0.99989,-0.0143011,0.155439,0.000159869,0.000244779,0.155261,0.0135721,0.5,0.0258029,0.999536,0.0162037,0.130271,4.75573e-05,-0.0637077,-0.129224,0.033168,0.195965,0.00791715,-0.17175,-0.985109,0.281361,0.00216917,0.0163982,0.00449289,0.284963,0.14654,-0.0135341,-0.198568,0.979994,0.266448,0.00197518,0.00720689,0.0118222,-0.269392,0.201897,-0.271835,-0.299746,1.10268,1.3802,1.27312,0.922417,0.603833,0.609347,0.501587,0.496153,1.00913,0.989166,0.603833,0.609347,0.501587,0.496153,1.38236,1.37805,1.27511,1.27114,0.281135,0.282149,0.309221,0.31047,0.178255,0.191503,0.99976,0.185187,0.999983,0.990951,1.01095,1.02018,
1452,601,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.987448,-0.157921,-0.00260496,0.655074,0.0177182,0.663884,-0.00324408,0.0133147,0.0492754,0.981577,-0.191067,-0.000512222,0.650456,0.0162088,-0.658774,0.0199817,0.00132906,0.1,-0.00738136,-0.999973,0.00069655,0.156707,0.000186586,0.000371255,0.156714,0.00700396,0.501478,0.0284358,0.999596,9.52502e-05,0.130113,2.28701e-05,0.00559755,-0.130325,0.00277189,0.203947,0.00928539,-0.179901,-0.983641,0.281188,0.00216499,0.0060761,0.0121912,0.283692,0.145889,-0.0126983,-0.189216,0.981853,0.267606,0.00201897,0.00965705,0.0104804,-0.270408,0.184739,-0.27347,-0.30023,1.09785,1.37216,1.27042,0.925852,0.60239,0.612235,0.500015,0.499079,1.01634,0.998127,0.60239,0.612235,0.500015,0.499079,1.37307,1.37127,1.27128,1.26956,0.282015,0.281731,0.310758,0.31075,0.185937,0.163078,0.999778,0.18457,0.999994,0.983919,1.00188,1.01825,
1453,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.99361,-0.112868,-0.000756986,0.657242,0.0201862,0.662251,-0.00698097,0.0143351,0.0728291,0.97436,-0.224127,-0.0197235,0.638694,0.0373369,-0.653237,0.00970468,0.00155192,0.135838,0.000317719,-0.999986,-0.00521194,0.153109,0.000501083,0.00534957,0.153077,0.00678315,0.196096,0.0189217,0.999819,0.00185287,0.148242,3.53177e-05,-0.0200516,-0.14792,0.016899,0.278772,0.00411815,-0.106177,-0.994339,0.284242,0.00302262,0.0118475,0.00332202,0.285555,0.0463659,-0.0177115,-0.0972798,0.995099,0.27053,0.00315005,0.0221986,-0.00460182,-0.271917,0.0728745,-0.289391,-0.313671,1.0839,1.36671,1.26446,0.925187,0.595021,0.581405,0.535146,0.5176,0.977118,0.967214,0.595021,0.581405,0.535146,0.5176,1.37283,1.36062,1.26973,1.25926,0.298057,0.296395,0.318681,0.317394,0.131649,0.20569,0.999815,0.101735,0.999907,1.02342,1.0339,1.01024,
1454,201,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.992383,-0.123107,-0.00461768,0.657549,0.0212262,0.663728,-0.00949738,0.00984098,0.0756757,0.97105,-0.238809,0.00571808,0.640758,0.0157793,-0.65638,0.0141654,0.000383879,0.105105,-0.00336179,-0.999991,0.00267208,0.156038,0.000462325,0.0147465,0.156014,0.00902829,0.18936,0.0224167,0.999728,-0.00650348,0.145578,1.92198e-05,-0.0418429,-0.144823,-0.0220875,0.372937,0.00211665,-0.110263,-0.9939,0.284547,0.00293201,0.0127639,0.00388519,0.285889,0.0898734,-0.0181809,-0.0980237,0.995018,0.272321,0.00271267,0.0232184,0.000642485,-0.273197,0.0701754,-0.289746,-0.313791,1.08299,1.37476,1.26449,0.919792,0.598365,0.582613,0.536854,0.517328,0.973674,0.963629,0.598365,0.582613,0.536854,0.517328,1.37518,1.37438,1.26451,1.26454,0.299554,0.297266,0.319861,0.317803,0.145324,0.216984,0.999818,0.104154,0.99987,1.02704,1.03774,1.01042,
1455,39,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.985046,-0.172227,-0.00465487,0.649924,0.0187358,0.660877,-0.0064709,0.00954299,0.0573066,0.993203,-0.115905,0.0107037,0.651621,0.0203834,-0.656017,0.000365804,-0.00201173,0.138211,-0.0123016,-0.99992,-0.00294175,0.157824,0.000466008,0.000121549,0.157806,0.00975334,0.213189,-0.00442919,0.999984,-0.00350482,0.160512,2.10222e-05,0.0231722,-0.160393,0.00556661,0.212987,0.0163166,-0.0963909,-0.99521,0.28456,0.00271642,-0.00644271,-0.00806729,0.286605,0.0607595,-0.00633174,-0.0882992,0.996074,0.271095,0.00275271,0.00490059,-0.00596095,-0.272661,0.0555556,-0.329006,-0.307659,0.935118,1.3625,1.27042,0.932414,0.581604,0.59416,0.520943,0.536614,1.02159,1.03008,0.581604,0.59416,0.520943,0.536614,1.36101,1.36402,1.26859,1.27229,0.334435,0.331165,0.315108,0.311715,0.167864,0.12031,0.99986,0.0923531,0.99995,0.978867,0.970796,0.991755,
1456,39,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-0.993677,-0.111959,-0.00846232,0.654913,0.0218053,0.659713,-0.00672713,0.0148279,0.12,0.981097,-0.193028,0.013768,0.642615,0.0167575,-0.654659,0.00147471,-0.00340107,0.0753623,-0.00122401,-0.999978,0.00647372,0.159162,0.000438728,0.0122542,0.159178,0.00420874,0.194369,0.0187565,0.999818,-0.00357845,0.160359,1.60934e-05,0.0182271,-0.160793,-0.017568,0.314176,0.00509373,-0.103339,-0.994633,0.283811,0.00289137,0.0159757,-0.00565774,0.286012,0.105985,-0.0172189,-0.085517,0.996188,0.270956,0.00281571,0.0185681,-0.0051549,-0.272114,0.0855683,-0.308559,-0.330772,1.07199,1.3628,1.26471,0.92802,0.5936,0.581868,0.534523,0.519418,0.980236,0.971742,0.5936,0.581868,0.534523,0.519418,1.36154,1.36409,1.26381,1.26566,0.313879,0.315657,0.334201,0.335979,0.130582,0.174609,0.999846,0.0944376,0.999926,1.02016,1.02908,1.00874,
1457,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.875742,-0.48267,0.0103043,0.567318,0.0145578,0.648173,-0.000816702,-0.00769469,0.0563063,0.995264,-0.0960811,-0.0147657,0.607548,0.0102676,-0.609267,0.0104224,0.0111603,0.113527,-0.0242231,-0.999704,0.00237392,0.187089,0.00015766,-0.0115872,0.187437,0.00486177,0.637385,-0.00891025,0.99996,0.000634534,0.170959,2.18008e-05,-0.00343792,-0.171019,0.036156,0.246377,-0.0214866,-0.0869728,-0.995979,0.281739,0.00166674,0.00770455,0.00526465,0.28225,0.11323,0.0127842,-0.0778168,0.996886,0.276804,0.0016711,0.0106043,0.00115831,-0.277714,0.179177,-0.377711,-0.339781,0.89958,1.36583,1.14327,0.837052,0.595148,0.581194,0.532309,0.526909,0.976553,0.989855,0.595148,0.581194,0.532309,0.526909,1.36663,1.36508,1.14444,1.14212,0.38027,0.381953,0.386185,0.38789,0.474872,0.104957,0.999451,0.0824078,0.999962,1.02401,1.01025,0.986562,
1458,32,0,2,1,1,0,2,0,0,0,0,0,0,0,0,-0.869588,-0.493572,0.0142658,0.562248,0.014097,0.644127,0.00412527,-0.0061091,0.0512249,0.996183,-0.0865698,-0.0111743,0.605752,0.0109572,-0.607282,0.00750511,0.0124034,0.113208,-0.0232642,-0.999726,0.00246999,0.187536,0.000158649,-0.0100003,0.187831,0.00433913,0.627907,-0.00973387,0.999953,0.000299889,0.171117,3.36165e-05,0.0378423,-0.170751,-0.0188049,0.262248,-0.0205595,-0.0822287,-0.996401,0.28252,0.0016841,0.00555289,0.00592663,0.282937,0.109785,0.0137536,-0.0785466,0.996816,0.277719,0.00165826,0.0080245,0.00108875,-0.278631,0.168498,-0.378216,-0.340615,0.900585,1.36303,1.13813,0.834996,0.594916,0.58345,0.533628,0.530122,0.980726,0.99343,0.594916,0.58345,0.533628,0.530122,1.36147,1.36462,1.13711,1.13915,0.380493,0.381937,0.389697,0.391149,0.485134,0.0962684,0.999456,0.0804,0.999977,1.01965,1.00661,0.987212,
1459,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.947289,-0.320248,-0.00922884,0.619891,0.0189507,0.650021,0.0127578,0.00515402,0.022293,0.991375,-0.130522,0.0118206,0.633879,0.0237245,-0.636121,0.0245793,-0.00308152,0.0911854,-0.0237659,-0.999707,0.00465114,0.173089,0.000472224,-0.00847731,0.173334,-0.00138105,0.226105,-2.68902e-05,0.999999,0.00107543,0.134038,3.44462e-05,-0.00638751,-0.134057,0.0175098,0.334286,0.0100157,-0.152966,-0.988181,0.258461,0.00497234,-0.00745667,0.016594,0.258908,0.0266497,-0.000465374,-0.155838,0.987783,0.257769,0.00450197,-0.0118898,0.0189744,-0.257969,0.0322997,-0.321789,-0.292903,0.910231,1.35668,1.21564,0.896042,0.558063,0.571157,0.4579,0.478666,1.02346,1.04535,0.558063,0.571157,0.4579,0.478666,1.35597,1.35742,1.21578,1.21559,0.326983,0.329834,0.311169,0.314081,0.320236,0.130558,0.999717,0.154406,0.999953,0.977075,0.956616,0.979061,
1460,393,1,2,2,1,0,2,0,0,0,0,0,0,0,0,-0.946173,-0.323658,-0.00147361,0.616735,0.0185591,0.647774,0.0118307,8.16958e-05,0.0341615,0.990169,-0.139793,0.00488013,0.631914,0.0259125,-0.635129,0.0216708,7.13003e-05,0.0532544,-0.0226878,-0.999741,-0.00167268,0.174071,0.000481129,-0.0062122,0.174256,0.000606486,0.218014,-0.00121797,0.999987,0.00494487,0.133914,2.67566e-05,0.00439412,-0.134009,0.0200984,0.383041,0.011895,-0.152142,-0.988287,0.259047,0.00470811,-0.0206045,0.0145153,0.259635,0.03125,-0.00162498,-0.152796,0.988256,0.257055,0.00473239,-0.00499002,0.0199945,-0.257026,0.0231362,-0.322642,-0.293772,0.910519,1.35456,1.20886,0.892436,0.556954,0.570548,0.457853,0.478885,1.02441,1.04594,0.556954,0.570548,0.457853,0.478885,1.35293,1.35623,1.20789,1.20992,0.32863,0.330661,0.31258,0.314876,0.322506,0.141001,0.999714,0.152473,0.999946,0.976173,0.956081,0.979417,
